handle,dc.description.abstract[en],dc.subject[en],sedici.subject.materias[es],fulltext,dc.description.abstract[es],dc.subject[es]
10915/100000,The research study presents methods for Ciencias Informáticas and education.,Ciencias Informáticas::http://example.org/0||repositorios,Ciencias Informáticas||Educación,The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. The paper reports reproducible results about Ciencias Informáticas. ,,
10915/100001,,,Educación,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/1||repositorios
10915/100002,,,Historia,El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. El trabajo presenta resultados reproducibles sobre Historia. ,Esta investigación estudia métodos de Historia para la educación y la sociedad.,Historia::http://example.org/2||repositorios
10915/100003,The research study presents methods for Química and education.,Química::http://example.org/3||repositorios,Química,The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. The paper reports reproducible results about Química. ,,
10915/100004,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/4||repositorios
10915/100005,,,Educación||Historia,El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. El trabajo presenta resultados reproducibles sobre Educación. ,Esta investigación estudia métodos de Educación para la educación y la sociedad.,Educación::http://example.org/5||repositorios
10915/100006,The research study presents methods for Historia and education.,Historia::http://example.org/6||repositorios,Historia,The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. The paper reports reproducible results about Historia. ,,
10915/100007,,,Química,El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. El trabajo presenta resultados reproducibles sobre Química. ,Esta investigación estudia métodos de Química para la educación y la sociedad.,Química::http://example.org/7||repositorios
10915/100008,,,Ciencias Informáticas,El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. El trabajo presenta resultados reproducibles sobre Ciencias Informáticas. ,Esta investigación estudia métodos de Ciencias Informáticas para la educación y la sociedad.,Ciencias Informáticas::http://example.org/8||repositorios
10915/100009,The research study presents methods for Educación and education.,Educación::http://example.org/9||repositorios,Educación,The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. The paper reports reproducible results about Educación. ,,
