split,statistic,count,mean,std,min,25%,50%,75%,90%,95%,99%,max
train,approx_observed_whitespace_tokens,12836.0,1251.1087566220006,916.0962825614615,0.0,1160.0,1293.0,1377.0,1442.0,1486.25,2297.149999999996,59768.0
train,approx_source_whitespace_tokens,12836.0,8018.670068557183,12239.734950846923,4.0,2390.75,4332.0,7751.0,14838.0,35681.25,62515.29999999999,115113.0
train,available_chunks,12836.0,48.909395450296046,76.7104277494859,0.0,14.0,26.0,46.0,89.0,228.0,387.0,1018.0
train,chunk_length,12836.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
train,chunk_overlap,12836.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train,content_chunk_length,12836.0,254.0,0.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0
train,observed_character_fraction,12836.0,0.39887110738834347,0.30633637951524545,0.0,0.1679545530848971,0.30100586783179095,0.550021695932186,1.0,1.0,1.0,1.0
train,observed_source_characters,12836.0,8184.479588656903,6144.025954732217,0.0,7464.0,8419.0,9046.25,9521.5,9839.0,15066.74999999998,395096.0
train,observed_token_fraction,12836.0,0.3983365109779606,0.30595894326120765,0.0,0.16757720448675484,0.30038570417726773,0.5493124057575838,1.0,1.0,1.0,1.0
train,original_source_characters,12836.0,62314.41033032097,169014.44755612698,119.0,15750.25,28175.5,50120.0,95750.0,236878.75,719117.0999999999,6915518.0
train,placeholder_chunks,12836.0,7.79058896852602e-05,0.008826431310854097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
train,represented_text_units,12836.0,1.054767840448738,0.8595347673123145,0.0,1.0,1.0,1.0,1.0,1.0,2.0,61.0
train,selected_chunks,12836.0,7.833125584294173,5.5535818642829184,1.0,8.0,8.0,8.0,8.0,8.0,16.0,352.0
train,selected_model_tokens_with_specials,12836.0,1871.7782019320662,1317.9027831427522,2.0,1832.0,1906.0,1980.0,2024.0,2039.0,3748.5999999999985,81362.0
train,selected_transformer_tokens,12836.0,1856.1119507634778,1306.8178002016086,0.0,1816.0,1890.0,1964.0,2008.0,2023.0,3716.5999999999985,80658.0
train,source_characters,12836.0,51922.00420691804,78642.48306380358,119.0,15750.25,28175.5,50120.0,95750.0,236878.75,400000.0,400000.0
train,text_units,12836.0,1.054845746338423,0.8594844757468469,1.0,1.0,1.0,1.0,1.0,1.0,2.0,61.0
train,tokenized_text_units,12836.0,1.054767840448738,0.8595347673123145,0.0,1.0,1.0,1.0,1.0,1.0,2.0,61.0
train,total_transformer_tokens,12836.0,12289.504284823932,19467.618205889088,0.0,3484.25,6371.5,11518.0,22587.5,57826.0,98115.54999999997,258566.0
train,unique_selected_transformer_tokens,12836.0,1856.1119507634778,1306.8178002016086,0.0,1816.0,1890.0,1964.0,2008.0,2023.0,3716.5999999999985,80658.0
calibration,approx_observed_whitespace_tokens,1927.0,1224.377789309808,491.9897438806951,2.0,1152.0,1293.0,1372.0,1438.0,1480.6999999999998,2062.620000000001,12817.0
calibration,approx_source_whitespace_tokens,1927.0,7872.49974052932,12196.838224040766,2.0,2338.5,4313.0,7552.0,13596.600000000004,36467.499999999985,61770.56,77497.0
calibration,available_chunks,1927.0,47.59626362221069,74.42706010418424,1.0,14.0,26.0,45.0,84.40000000000009,216.0,374.44000000000005,561.0
calibration,chunk_length,1927.0,256.0,0.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
calibration,chunk_overlap,1927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calibration,content_chunk_length,1927.0,254.0,0.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0
calibration,observed_character_fraction,1927.0,0.4071057511201964,0.3132650552534973,0.013455,0.1689519720575234,0.30086169611072294,0.5675103005546083,1.0,1.0,1.0,1.0
