split,model,metric,n_run_instances,n_independent_neural_seeds,mean,sample_sd,minimum,maximum
calibration,bm25_matched,subset_accuracy,3,0,0.5775817332641412,0.0,0.5775817332641412,0.5775817332641412
calibration,bm25_matched,hamming_loss,3,0,0.01624146201208993,0.0,0.01624146201208993,0.01624146201208993
calibration,bm25_matched,precision_micro,3,0,0.7372153788727137,0.0,0.7372153788727137,0.7372153788727137
calibration,bm25_matched,precision_macro,3,0,0.7407208098725268,0.0,0.7407208098725268,0.7407208098725268
calibration,bm25_matched,recall_micro,3,0,0.8130918073281186,0.0,0.8130918073281186,0.8130918073281186
calibration,bm25_matched,recall_macro,3,0,0.7937537894335902,0.0,0.7937537894335902,0.7937537894335902
calibration,bm25_matched,f1_micro,3,0,0.7732967893500392,0.0,0.7732967893500392,0.7732967893500392
calibration,bm25_matched,f1_macro,3,0,0.7552344115255128,0.0,0.7552344115255128,0.7552344115255128
calibration,bm25_matched,f1_samples,3,0,0.7642795364123853,0.0,0.7642795364123853,0.7642795364123853
calibration,bm25_matched,jaccard_micro,3,0,0.6303862112990744,0.0,0.6303862112990744,0.6303862112990744
calibration,bm25_matched,jaccard_macro,3,0,0.6233358666390866,0.0,0.6233358666390866,0.6233358666390866
calibration,bm25_matched,jaccard_samples,3,0,0.716787752983913,0.0,0.7167877529839128,0.7167877529839128
calibration,bm25_matched,average_precision_micro,3,0,0.8555262815516617,2.0745417902846776e-07,0.8555261279568522,0.8555265175461526
calibration,bm25_matched,average_precision_macro,3,0,0.8134604162628891,5.448300715166657e-08,0.8134603658612707,0.813460474069767
calibration,bm25_matched,precision_at_1,3,0,0.8271925272444213,0.0,0.8271925272444214,0.8271925272444214
calibration,bm25_matched,recall_at_1,3,0,0.7140200657325723,0.0,0.7140200657325723,0.7140200657325723
calibration,bm25_matched,precision_at_3,3,0,0.3862653520152222,0.0,0.3862653520152222,0.3862653520152222
calibration,bm25_matched,recall_at_3,3,0,0.9257481404601279,0.0,0.9257481404601279,0.9257481404601279
calibration,bm25_matched,precision_at_5,3,0,0.2404774260508563,0.0,0.2404774260508563,0.2404774260508563
calibration,bm25_matched,recall_at_5,3,0,0.9588738972496108,0.0,0.9588738972496108,0.9588738972496108
calibration,labse_matched,subset_accuracy,3,3,0.5696246324165369,0.02239478996508865,0.551634665282823,0.5947067981318112
calibration,labse_matched,hamming_loss,3,3,0.01699416074091736,0.0007321943533738902,0.016171334801329613,0.017573879016535995
calibration,labse_matched,precision_micro,3,3,0.7214315801484008,0.015297175756680687,0.7098501070663812,0.7387724550898204
calibration,labse_matched,precision_macro,3,3,0.7307476065664521,0.008172955258026445,0.72385191395394,0.7397752615786596
calibration,labse_matched,recall_micro,3,3,0.8170714971867709,0.003825266876565451,0.8126801152737753,0.8196788801976121
calibration,labse_matched,recall_macro,3,3,0.8011647709525104,0.0050588135673431435,0.7960546876694867,0.8061707065818472
calibration,labse_matched,f1_micro,3,3,0.766195030946994,0.00697759883718352,0.7604664500095584,0.7739658890413644
calibration,labse_matched,f1_macro,3,3,0.7552632379698982,0.006638580338825299,0.7481907792763678,0.7613599350349265
calibration,labse_matched,f1_samples,3,3,0.7623783988599765,0.006875548081167606,0.7554427064027478,0.769192181283515
calibration,labse_matched,jaccard_micro,3,3,0.621036381213005,0.009188463209411838,0.6135101789019124,0.6312759833706428
calibration,labse_matched,jaccard_macro,3,3,0.6252494592438523,0.007790966684087578,0.6171063121589225,0.6326325322257649
calibration,labse_matched,jaccard_samples,3,3,0.714066193853428,0.010623810856935768,0.7043937035115032,0.7254367756443523
calibration,labse_matched,average_precision_micro,3,3,0.8168267797949745,0.01118918209244277,0.8074559637441963,0.8292153463157277
calibration,labse_matched,average_precision_macro,3,3,0.7679486050785812,0.008105355371298471,0.761625766247896,0.7770860656196125
calibration,labse_matched,precision_at_1,3,3,0.7900017298045321,0.01864100159633014,0.7742605085625325,0.8105864037363778
calibration,labse_matched,recall_at_1,3,3,0.6811249495473678,0.014767388332991642,0.6686126967652655,0.6974139422245287
