label,true_negative,false_positive,false_negative,true_positive,specificity
Antropología,2880,20,13,46,0.993103448275862
Arquitectura,2875,7,23,54,0.9975711311589174
Astronomía,2924,0,15,20,1.0
Bellas Artes,2818,35,7,99,0.9877322117069751
Bibliotecología,2917,5,6,31,0.9982888432580425
Biología,2863,62,17,17,0.9788034188034188
Ciencias Agrarias,2812,31,9,107,0.9890960253253606
Ciencias Astronómicas,2904,18,4,33,0.9938398357289527
Ciencias Económicas,2872,2,26,59,0.9993041057759221
Ciencias Exactas,2814,19,60,66,0.9932933286268972
Ciencias Informáticas,2558,14,30,357,0.994556765163297
Ciencias Jurídicas,2751,54,12,142,0.9807486631016042
Ciencias Médicas,2888,17,6,48,0.9941480206540447
Ciencias Naturales,2706,67,28,158,0.9758384421204471
Ciencias Sociales,2818,37,62,42,0.9870402802101577
Ciencias Veterinarias,2867,20,3,69,0.9930723934880499
Ciencias de la Educación,2897,12,15,35,0.9958748710897215
Comunicación,2801,55,28,75,0.9807422969187675
Comunicación Social,2828,38,29,64,0.9867411025819958
Educación,2659,115,48,137,0.9585436193222783
Educación Física,2880,6,3,70,0.997920997920998
Filosofía,2905,1,19,34,0.9996558843771507
Física,2877,20,12,50,0.9930963065239903
Geografía,2924,0,13,22,1.0
Historia,2779,56,19,105,0.980246913580247
Humanidades,2585,147,44,183,0.9461932650073206
Ingeniería,2840,31,8,80,0.9892023685127134
Letras,2732,45,12,170,0.9837954627295643
Odontología,2888,5,2,64,0.9982716902868994
Periodismo,2833,38,23,65,0.9867641936607454
Psicología,2846,13,7,93,0.9954529555788737
Química,2875,22,8,54,0.9924059371763894
Relaciones Internacionales,2823,21,2,113,0.9926160337552743
Sociología,2750,44,24,141,0.984251968503937
Trabajo Social,2903,10,14,32,0.9965671129419842
Urbanismo,2899,30,7,23,0.9897575964493001
Zoología,2913,13,9,24,0.995557074504443
