label,support_train,support_validation,support_test,precision,recall,f1,average_precision,threshold,true_negative,false_positive,false_negative,true_positive,specificity,predicted_support,performance_rank
Odontología,291,44,66,0.927536231884058,0.9696969696969697,0.9481481481481482,0.9791568657302488,-0.4601196040963132,2888,5,2,64,0.9982716902868994,69,1
Ciencias Informáticas,1675,258,387,0.9622641509433962,0.9224806201550387,0.941952506596306,0.9745861258216706,0.0,2558,14,30,357,0.994556765163297,371,2
Educación Física,318,49,73,0.9210526315789473,0.958904109589041,0.9395973154362416,0.988208809193196,-0.4601196040963132,2880,6,3,70,0.997920997920998,76,3
Relaciones Internacionales,501,76,115,0.8432835820895522,0.9826086956521739,0.9076305220883534,0.9673777828682639,-0.4601196040963132,2823,21,2,113,0.9926160337552743,134,4
Psicología,432,66,100,0.8773584905660378,0.93,0.9029126213592233,0.9596811124469335,-0.4601196040963132,2846,13,7,93,0.9954529555788737,106,5
Ciencias Veterinarias,313,48,72,0.7752808988764045,0.9583333333333334,0.8571428571428571,0.9307189064202761,-0.4601196040963132,2867,20,3,69,0.9930723934880499,89,6
Letras,790,122,182,0.7906976744186046,0.9340659340659341,0.8564231738035264,0.9441850848837497,-0.4601196040963132,2732,45,12,170,0.9837954627295643,215,7
Bibliotecología,161,24,37,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.908362199591335,-0.4601196040963132,2917,5,6,31,0.9982888432580425,36,8
Ciencias Agrarias,504,78,116,0.7753623188405797,0.9224137931034483,0.84251968503937,0.8997046879959566,-0.4601196040963132,2812,31,9,107,0.9890960253253606,138,9
Bellas Artes,459,70,106,0.7388059701492538,0.9339622641509434,0.825,0.8927261729182746,-0.4601196040963132,2818,35,7,99,0.9877322117069751,134,10
Ciencias Jurídicas,670,102,154,0.7244897959183674,0.922077922077922,0.8114285714285714,0.9084549942118675,-0.4601196040963132,2751,54,12,142,0.9807486631016042,196,11
Ciencias Económicas,367,56,85,0.9672131147540983,0.6941176470588235,0.8082191780821918,0.9137631710748948,0.0,2872,2,26,59,0.9993041057759221,61,12
Ciencias Médicas,233,36,54,0.7384615384615385,0.8888888888888888,0.8067226890756303,0.8280019770892856,-0.4601196040963132,2888,17,6,48,0.9941480206540447,65,13
Sociología,710,109,165,0.7621621621621621,0.8545454545454545,0.8057142857142857,0.8615939514778626,-0.4601196040963132,2750,44,24,141,0.984251968503937,185,14
Ingeniería,383,59,88,0.7207207207207207,0.9090909090909091,0.8040201005025126,0.8744011379370645,-0.4601196040963132,2840,31,8,80,0.9892023685127134,111,15
Arquitectura,332,51,77,0.8852459016393442,0.7012987012987013,0.782608695652174,0.8960644574728053,0.0,2875,7,23,54,0.9975711311589174,61,16
Química,269,42,62,0.7105263157894737,0.8709677419354839,0.782608695652174,0.8315859212797442,-0.4601196040963132,2875,22,8,54,0.9924059371763894,76,17
Filosofía,226,35,53,0.9714285714285714,0.6415094339622641,0.7727272727272727,0.8262478021161453,0.2438292957892126,2905,1,19,34,0.9996558843771507,35,18
Geografía,152,24,35,1.0,0.6285714285714286,0.7719298245614035,0.8620709151627661,0.0,2924,0,13,22,1.0,22,19
Ciencias Naturales,803,124,186,0.7022222222222222,0.8494623655913979,0.7688564476885644,0.8313779839239647,-0.4601196040963132,2706,67,28,158,0.9758384421204471,225,20
Física,269,42,62,0.7142857142857143,0.8064516129032258,0.7575757575757576,0.8394594531725182,-0.4601196040963132,2877,20,12,50,0.9930963065239903,70,21
Ciencias Astronómicas,159,24,37,0.6470588235294118,0.8918918918918919,0.75,0.8159834712113293,-0.7182563468396768,2904,18,4,33,0.9938398357289527,51,22
Historia,542,82,124,0.6521739130434783,0.8467741935483871,0.7368421052631579,0.8066710894694207,-0.4601196040963132,2779,56,19,105,0.980246913580247,161,23
Antropología,254,39,59,0.696969696969697,0.7796610169491526,0.736,0.8191033052905105,-0.4601196040963132,2880,20,13,46,0.993103448275862,66,24
Trabajo Social,198,30,46,0.7619047619047619,0.6956521739130435,0.7272727272727273,0.8108799934583509,-0.4601196040963132,2903,10,14,32,0.9965671129419842,42,25
Astronomía,156,24,35,1.0,0.5714285714285714,0.7272727272727273,0.9160052760084247,0.2438292957892126,2924,0,15,20,1.0,20,26
Ciencias de la Educación,220,34,50,0.7446808510638298,0.7,0.7216494845360825,0.7747465959067703,-0.4601196040963132,2897,12,15,35,0.9958748710897215,47,27
Zoología,139,22,33,0.6486486486486487,0.7272727272727273,0.6857142857142857,0.6669183920134807,-0.4601196040963132,2913,13,9,24,0.995557074504443,37,28
Periodismo,381,58,88,0.6310679611650486,0.7386363636363636,0.680628272251309,0.7560668839530045,-0.4601196040963132,2833,38,23,65,0.9867641936607454,103,29
Humanidades,982,150,227,0.5545454545454546,0.8061674008810573,0.6570915619389587,0.7859658818746369,-0.4601196040963132,2585,147,44,183,0.9461932650073206,330,30
Comunicación Social,405,62,93,0.6274509803921569,0.6881720430107527,0.6564102564102564,0.7186018729688651,-0.4601196040963132,2828,38,29,64,0.9867411025819958,102,31
Comunicación,448,69,103,0.5769230769230769,0.7281553398058253,0.6437768240343348,0.6717368997623081,-0.4601196040963132,2801,55,28,75,0.9807422969187675,130,32
Educación,803,124,185,0.5436507936507936,0.7405405405405405,0.6270022883295194,0.6475190346071377,-0.4601196040963132,2659,115,48,137,0.9585436193222783,252,33
Ciencias Exactas,546,84,126,0.7764705882352941,0.5238095238095238,0.6255924170616114,0.7233191448823544,0.0,2814,19,60,66,0.9932933286268972,85,34
