stage,seconds,feature_set,preprocessing,representation,classifier
ingestion,36.628164801000025,,,,
language_detection,7.633790163000185,,,,
preprocessing,59.259530765000136,fulltext,language_stopwords,,
representation_fit,126.20150763499987,fulltext,,bm25,
representation_transform,11.591620223000064,fulltext,,bm25,
classifier_fit,3347.0886060049997,fulltext,,bm25,linear_svc_c1_tol1e4
prediction,1.3322718150002402,fulltext,,bm25,linear_svc_c1_tol1e4
classifier_fit,3012.3780499759996,fulltext,,bm25,linear_svc_c1_tol5e4
prediction,1.3511732799997844,fulltext,,bm25,linear_svc_c1_tol5e4
classifier_fit,2375.551842669999,fulltext,,bm25,linear_svc_c05_tol1e4
prediction,1.3331484509999427,fulltext,,bm25,linear_svc_c05_tol1e4
classifier_fit,1930.034091132,fulltext,,bm25,linear_svc_c05_tol5e4
prediction,1.3297668390005128,fulltext,,bm25,linear_svc_c05_tol5e4
representation_fit,124.66713611100022,fulltext,,tfidf,
representation_transform,11.691054704000635,fulltext,,tfidf,
classifier_fit,16.510596099000395,fulltext,,tfidf,linear_svc_c1_tol1e4
prediction,1.349712463999822,fulltext,,tfidf,linear_svc_c1_tol1e4
classifier_fit,15.5949327849994,fulltext,,tfidf,linear_svc_c1_tol5e4
prediction,1.321631406999586,fulltext,,tfidf,linear_svc_c1_tol5e4
classifier_fit,14.143252135001603,fulltext,,tfidf,linear_svc_c05_tol1e4
prediction,1.3457095240009949,fulltext,,tfidf,linear_svc_c05_tol1e4
classifier_fit,13.417344595998657,fulltext,,tfidf,linear_svc_c05_tol5e4
prediction,1.339067774999421,fulltext,,tfidf,linear_svc_c05_tol5e4
total,13781.33173693,,,,
