language,precision,recall,f1-score,support
an,0.0,0.0,0.0,0.0
ca,0.8,1.0,0.8888888888888888,4.0
de,1.0,1.0,1.0,11.0
en,0.9998381091144568,0.9991910694062449,0.9995144845444247,6181.0
eo,0.0,0.0,0.0,0.0
es,0.9998800743539006,0.9986823980355752,0.9992808773296579,16697.0
fr,0.9701492537313433,0.9848484848484849,0.9774436090225563,66.0
gl,0.0,0.0,0.0,0.0
it,0.7777777777777778,1.0,0.875,14.0
ko,1.0,1.0,1.0,1.0
la,0.0,0.0,0.0,0.0
nl,0.0,0.0,0.0,0.0
pt,0.9921507064364207,0.9952755905511811,0.9937106918238994,635.0
accuracy,0.9986869414206446,0.9986869414206446,0.9986869414206446,0.9986869414206446
macro avg,0.579984301647223,0.6136921186801143,0.5949106578161097,23609.0
weighted avg,0.9994125711443016,0.9986869414206446,0.9990391359566949,23609.0
