language,N,percentage
es,16672,84.58650431253172
en,2014,10.2181633688483
mul,380,1.9279553526128868
pt,380,1.9279553526128868
an,81,0.410958904109589
ca,59,0.2993404363267377
fr,32,0.16235413495687467
la,18,0.091324200913242
de,15,0.076103500761035
it,13,0.06595636732623034
qu,9,0.045662100456621
wa,5,0.025367833587011668
zh,4,0.020294266869609334
ga,3,0.015220700152207
br,3,0.015220700152207
lb,2,0.010147133434804667
hy,2,0.010147133434804667
is,2,0.010147133434804667
ja,2,0.010147133434804667
hu,1,0.0050735667174023336
pl,1,0.0050735667174023336
jv,1,0.0050735667174023336
vi,1,0.0050735667174023336
oc,1,0.0050735667174023336
th,1,0.0050735667174023336
rw,1,0.0050735667174023336
mr,1,0.0050735667174023336
fo,1,0.0050735667174023336
cs,1,0.0050735667174023336
ka,1,0.0050735667174023336
lt,1,0.0050735667174023336
gl,1,0.0050735667174023336
el,1,0.0050735667174023336
