label,support
Ciencias Informáticas,2578
Humanidades,1510
Ciencias Naturales,1238
Educación,1235
Letras,1215
Sociología,1093
Ciencias Jurídicas,1028
Ciencias Exactas,840
Historia,831
Ciencias Agrarias,776
Relaciones Internacionales,769
Bellas Artes,706
Ciencias Sociales,697
Comunicación,689
Psicología,664
Comunicación Social,622
Ingeniería,589
Periodismo,585
Ciencias Económicas,564
Arquitectura,511
Educación Física,489
Ciencias Veterinarias,481
Odontología,444
Física,414
Química,414
Antropología,391
Ciencias Médicas,359
Filosofía,349
Ciencias de la Educación,338
Trabajo Social,304
Bibliotecología,247
Ciencias Astronómicas,245
Astronomía,239
Geografía,234
Biología,223
Zoología,215
Urbanismo,200
