label,source_field,support
Ciencias Informáticas,sedici.subject.materias,1
Ciencias Naturales,sedici.subject.materias[],1
Ciencias Informáticas,sedici.subject.materias[es],14837
Humanidades,sedici.subject.materias[es],9401
Ciencias Naturales,sedici.subject.materias[es],8255
Educación,sedici.subject.materias[es],6978
Letras,sedici.subject.materias[es],6899
Sociología,sedici.subject.materias[es],5880
Ciencias Exactas,sedici.subject.materias[es],5750
Ciencias Jurídicas,sedici.subject.materias[es],5594
Historia,sedici.subject.materias[es],4982
Ciencias Agrarias,sedici.subject.materias[es],4488
Relaciones Internacionales,sedici.subject.materias[es],4036
Bellas Artes,sedici.subject.materias[es],3987
Ciencias Económicas,sedici.subject.materias[es],3851
Ingeniería,sedici.subject.materias[es],3768
Ciencias Sociales,sedici.subject.materias[es],3718
Comunicación,sedici.subject.materias[es],3692
Comunicación Social,sedici.subject.materias[es],3610
Psicología,sedici.subject.materias[es],3509
Física,sedici.subject.materias[es],3314
Periodismo,sedici.subject.materias[es],3164
Arquitectura,sedici.subject.materias[es],2872
Ciencias Veterinarias,sedici.subject.materias[es],2768
Antropología,sedici.subject.materias[es],2752
Química,sedici.subject.materias[es],2653
Educación Física,sedici.subject.materias[es],2557
Odontología,sedici.subject.materias[es],2442
Ciencias Médicas,sedici.subject.materias[es],2195
Farmacia,sedici.subject.materias[es],2100
Filosofía,sedici.subject.materias[es],1997
Ciencias de la Educación,sedici.subject.materias[es],1862
Ciencias Astronómicas,sedici.subject.materias[es],1855
Trabajo Social,sedici.subject.materias[es],1753
Zoología,sedici.subject.materias[es],1498
Biología,sedici.subject.materias[es],1457
Astronomía,sedici.subject.materias[es],1349
Bibliotecología,sedici.subject.materias[es],1294
Geografía,sedici.subject.materias[es],1245
Urbanismo,sedici.subject.materias[es],1126
Música,sedici.subject.materias[es],1101
Ecología,sedici.subject.materias[es],842
Derecho,sedici.subject.materias[es],816
Geología,sedici.subject.materias[es],809
Informática,sedici.subject.materias[es],715
Paleontología,sedici.subject.materias[es],702
Política,sedici.subject.materias[es],684
Salud,sedici.subject.materias[es],601
Arqueología,sedici.subject.materias[es],589
Economía,sedici.subject.materias[es],472
Medicina,sedici.subject.materias[es],468
Matemática,sedici.subject.materias[es],442
