stage,seconds,feature_set,preprocessing,representation,classifier
ingestion,36.410698981999985,,,,
language_detection,10.10235753400002,,,,
preprocessing,0.027997570000025007,abstract,raw,,
preprocessing,0.007401569999956337,keywords,raw,,
preprocessing,0.6425558639998599,fulltext,raw,,
preprocessing,0.051254599999992934,abstract+keywords,raw,,
preprocessing,0.6702319739999893,abstract+fulltext,raw,,
preprocessing,0.5700934329997835,keywords+fulltext,raw,,
preprocessing,0.3726692220000132,abstract+keywords+fulltext,raw,,
preprocessing,0.6458009739999397,abstract,normalized,,
preprocessing,0.04508953000004112,keywords,normalized,,
preprocessing,29.592245533999858,fulltext,normalized,,
preprocessing,0.6931774340000629,abstract+keywords,normalized,,
preprocessing,30.544971526999916,abstract+fulltext,normalized,,
preprocessing,29.63531702099999,keywords+fulltext,normalized,,
preprocessing,30.254448935000028,abstract+keywords+fulltext,normalized,,
preprocessing,1.426415198000086,abstract,language_stopwords,,
representation_fit,3.107643396999947,abstract,,bow,
representation_transform,0.2384420210000826,abstract,,bow,
classifier_fit,10.602872448000198,abstract,,bow,logreg
prediction,0.459514363000153,abstract,,bow,logreg
classifier_fit,7.481556871000066,abstract,,bow,linear_svc
prediction,1.1878279570000814,abstract,,bow,linear_svc
classifier_fit,2.222063041999945,abstract,,bow,sgd
prediction,0.4541181519998645,abstract,,bow,sgd
representation_fit,3.2698196479998387,abstract,,tfidf,
representation_transform,0.25433470099983424,abstract,,tfidf,
classifier_fit,3.286401048000016,abstract,,tfidf,logreg
prediction,0.46124773300016386,abstract,,tfidf,logreg
classifier_fit,1.186203975999888,abstract,,tfidf,linear_svc
prediction,1.188104826999961,abstract,,tfidf,linear_svc
classifier_fit,1.0114558660000057,abstract,,tfidf,sgd
prediction,0.4528798320000078,abstract,,tfidf,sgd
representation_fit,3.2904755380000097,abstract,,bm25,
representation_transform,0.25173621099997945,abstract,,bm25,
classifier_fit,7.134604938999928,abstract,,bm25,logreg
prediction,0.46051921299999776,abstract,,bm25,logreg
classifier_fit,170.28755063799986,abstract,,bm25,linear_svc
prediction,1.177284722999957,abstract,,bm25,linear_svc
classifier_fit,1.5592565199999626,abstract,,bm25,sgd
prediction,0.4497456080000575,abstract,,bm25,sgd
preprocessing,0.04545833999986826,keywords,language_stopwords,,
representation_fit,0.16965451900000517,keywords,,bow,
representation_transform,0.02467969000008452,keywords,,bow,
classifier_fit,1.398676370999965,keywords,,bow,logreg
prediction,0.440547707000178,keywords,,bow,logreg
classifier_fit,1.3939538810000158,keywords,,bow,linear_svc
prediction,1.1565448930000457,keywords,,bow,linear_svc
classifier_fit,0.4813964570000735,keywords,,bow,sgd
prediction,0.4380445970000437,keywords,,bow,sgd
representation_fit,0.175740309000048,keywords,,tfidf,
representation_transform,0.025263919999815698,keywords,,tfidf,
classifier_fit,0.6819910650001475,keywords,,tfidf,logreg
prediction,0.43927288700001554,keywords,,tfidf,logreg
classifier_fit,0.4979268869999487,keywords,,tfidf,linear_svc
prediction,1.1657504219999737,keywords,,tfidf,linear_svc
classifier_fit,0.3521256379999613,keywords,,tfidf,sgd
prediction,0.43794176700021126,keywords,,tfidf,sgd
representation_fit,0.1771812189999764,keywords,,bm25,
representation_transform,0.025543659000049956,keywords,,bm25,
classifier_fit,1.9162798980000844,keywords,,bm25,logreg
prediction,0.44065802799991616,keywords,,bm25,logreg
classifier_fit,25.67536140900006,keywords,,bm25,linear_svc
prediction,1.169031152000116,keywords,,bm25,linear_svc
classifier_fit,0.7870794549999118,keywords,,bm25,sgd
prediction,0.4347507869999845,keywords,,bm25,sgd
preprocessing,59.11900500899992,fulltext,language_stopwords,,
representation_fit,123.2931182169998,fulltext,,bow,
representation_transform,11.621419314000377,fulltext,,bow,
classifier_fit,1076.4813890560004,fulltext,,bow,logreg
prediction,0.64663762400005,fulltext,,bow,logreg
classifier_fit,822.3693583019999,fulltext,,bow,linear_svc
prediction,1.3757819749998816,fulltext,,bow,linear_svc
classifier_fit,38.749248530000386,fulltext,,bow,sgd
prediction,0.6379911279991575,fulltext,,bow,sgd
representation_fit,121.88273056900016,fulltext,,tfidf,
representation_transform,11.53674082299949,fulltext,,tfidf,
classifier_fit,58.547954011999536,fulltext,,tfidf,logreg
prediction,0.5914323169999989,fulltext,,tfidf,logreg
classifier_fit,14.536296708000009,fulltext,,tfidf,linear_svc
prediction,1.3425356039997496,fulltext,,tfidf,linear_svc
classifier_fit,8.62693931800004,fulltext,,tfidf,sgd
prediction,0.596230686999661,fulltext,,tfidf,sgd
representation_fit,121.11765697399915,fulltext,,bm25,
representation_transform,11.537987892999809,fulltext,,bm25,
classifier_fit,153.14809367700036,fulltext,,bm25,logreg
prediction,0.6058718770000269,fulltext,,bm25,logreg
classifier_fit,3145.8494140870007,fulltext,,bm25,linear_svc
prediction,1.343365745000483,fulltext,,bm25,linear_svc
classifier_fit,8.45469651500025,fulltext,,bm25,sgd
prediction,0.5889365980001458,fulltext,,bm25,sgd
preprocessing,1.459157504000359,abstract+keywords,language_stopwords,,
representation_fit,3.3043555860003835,abstract+keywords,,bow,
representation_transform,0.25395788900004845,abstract+keywords,,bow,
classifier_fit,10.64315603599971,abstract+keywords,,bow,logreg
prediction,0.461508918000618,abstract+keywords,,bow,logreg
classifier_fit,6.020113215000492,abstract+keywords,,bow,linear_svc
prediction,1.180147494999801,abstract+keywords,,bow,linear_svc
classifier_fit,2.3387844799999584,abstract+keywords,,bow,sgd
prediction,0.4589408880001429,abstract+keywords,,bow,sgd
representation_fit,3.4430804150006225,abstract+keywords,,tfidf,
representation_transform,0.2592596490003416,abstract+keywords,,tfidf,
classifier_fit,3.544138565999674,abstract+keywords,,tfidf,logreg
prediction,0.4600950780004496,abstract+keywords,,tfidf,logreg
classifier_fit,1.1833973749999132,abstract+keywords,,tfidf,linear_svc
prediction,1.1815403249993324,abstract+keywords,,tfidf,linear_svc
classifier_fit,1.0289071860006516,abstract+keywords,,tfidf,sgd
prediction,0.4576613380004346,abstract+keywords,,tfidf,sgd
representation_fit,3.4467568449999817,abstract+keywords,,bm25,
representation_transform,0.2590648989998954,abstract+keywords,,bm25,
classifier_fit,7.330030430000079,abstract+keywords,,bm25,logreg
prediction,0.45723207800074306,abstract+keywords,,bm25,logreg
classifier_fit,154.77745489599965,abstract+keywords,,bm25,linear_svc
prediction,1.1858374749999712,abstract+keywords,,bm25,linear_svc
classifier_fit,1.6320253530002446,abstract+keywords,,bm25,sgd
prediction,0.4516223880000325,abstract+keywords,,bm25,sgd
preprocessing,61.866675842000404,abstract+fulltext,language_stopwords,,
representation_fit,123.04401967900048,abstract+fulltext,,bow,
representation_transform,11.82381740100027,abstract+fulltext,,bow,
classifier_fit,716.6809602530011,abstract+fulltext,,bow,logreg
prediction,0.6392734080000082,abstract+fulltext,,bow,logreg
classifier_fit,91.81117552400065,abstract+fulltext,,bow,linear_svc
prediction,1.3655318260007334,abstract+fulltext,,bow,linear_svc
classifier_fit,37.896190417999605,abstract+fulltext,,bow,sgd
