phase,preprocessing,feature_set,representation,classifier,fit_warning,label,iterations,max_iter,converged
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Antropología,56,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Arquitectura,47,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Astronomía,70,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Bellas Artes,353,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Bibliotecología,350,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Biología,40,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Agrarias,153,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Astronómicas,55,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Económicas,770,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Exactas,74,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Informáticas,148,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Jurídicas,25,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Médicas,315,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Naturales,32,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Sociales,114808,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias Veterinarias,49,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ciencias de la Educación,305,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Comunicación,35,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Comunicación Social,32,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Educación,115242,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Educación Física,307,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Filosofía,1567,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Física,156,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Geografía,224,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Historia,2740,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Humanidades,200000,200000,False
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Ingeniería,39,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Letras,43,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Odontología,51,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol1e4,"Liblinear failed to converge, increase the number of iterations.",Periodismo,37,200000,True
