evaluation_family,metric,difference_candidate_minus_final_bm25,ci_lower,ci_upper,probability_candidate_better,confidence,n_resamples,seed
tfidf,f1_macro,-0.018436436575,-0.029947207434,-0.006772088797,0.000,0.95,1000,42
tfidf,f1_micro,-0.015564898488,-0.024317191429,-0.007151234940,0.001,0.95,1000,42
labse_finetuned,f1_macro,-0.045291051655,-0.058660775100,-0.031085877955,0.000,0.95,1000,42
labse_finetuned,f1_micro,-0.040605537862,-0.050841402610,-0.030335154021,0.000,0.95,1000,42
bow,f1_macro,-0.074067713402,-0.089581860801,-0.059030322648,0.000,0.95,1000,42
bow,f1_micro,-0.054941096046,-0.066237151538,-0.044122136805,0.000,0.95,1000,42
sbert_finetuned,f1_macro,-0.092773615450,-0.106963563631,-0.077901620645,0.000,0.95,1000,42
sbert_finetuned,f1_micro,-0.093905789064,-0.105455948308,-0.082190633820,0.000,0.95,1000,42
sbert_frozen,f1_macro,-0.131140981525,-0.145846793583,-0.116331276013,0.000,0.95,1000,42
sbert_frozen,f1_micro,-0.128773802785,-0.139800040794,-0.117490558958,0.000,0.95,1000,42
labse_frozen,f1_macro,-0.137947032305,-0.152798854082,-0.123276068070,0.000,0.95,1000,42
labse_frozen,f1_micro,-0.135048391292,-0.146919255144,-0.122628234911,0.000,0.95,1000,42
